,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Brca1,0.040145233,0.0036038333,0.047676846,0.14781831,0.0,0.03579055,0.062316377,0.008457909,0.012885969,0.023911001,0.006027532,0.03957152
Arl4d,0.046924032,0.0,0.013448631,0.14937955,0.02258808,0.026704662,0.0,0.0,0.102772295,0.028203744,0.22840284,0.03510154
Meox1,0.0,0.0,0.0,0.13992079,0.16028455,0.3084806,0.5170698,0.0,0.16075294,0.0,0.0,0.0
Tbkbp1,0.15465601,0.022378253,0.010604229,0.034001853,0.0,0.0,0.03974329,0.0,0.0274332,0.0,0.044694778,0.18470272
Tbx21,0.807161,0.0,0.055061497,0.0,0.0,0.009495917,0.073731706,0.022436125,0.0,0.0,0.0,0.373556
Hoxb2,0.06951154,0.09788622,0.07607265,0.6471835,0.0138261765,0.12439264,0.02467813,0.0,0.32662025,0.0,0.22122213,0.099853404
Hoxb4,0.10136379,0.025962975,0.09149348,0.18920727,0.054381292,0.10327813,0.05676094,0.0,0.100294374,0.0,0.08376021,0.070946805
Abi3,0.47545108,0.0,0.12799707,0.304909,0.0,0.03760435,0.0,0.13152598,0.05904028,0.072858736,0.02926512,0.19568034
Nog,0.0,0.0220326,0.0,1.2241465,0.0,0.0,0.0,0.0,0.0,0.28507176,0.0,0.0
Cyb561,0.045048237,0.0,0.3883927,0.0,0.06376587,0.0,0.0,0.0,0.7871274,0.0,0.06463326,0.4005978
Ern1,0.12329063,0.030455358,0.57232857,0.0053543234,0.2614087,0.030177232,0.21874677,0.10378146,0.307428,0.13819313,0.3244135,0.23521546
Pecam1,0.0,0.0,0.0,0.7829666,0.14252833,0.0,0.0,0.004760131,0.0,1.0142977,0.0,0.0
Rgs9,0.38198063,0.0,0.0783655,0.0,0.0,0.009446599,0.0,0.0,0.07296326,0.0,0.0,0.024802515
Kif19a,0.31326187,0.0,0.002947395,0.0,0.0,0.010625457,0.07450115,0.0,0.041044522,0.0,0.0,0.11877659
Cd300a,0.3798722,0.0,0.07934052,0.09214906,0.0,0.0,0.0011790468,0.01741088,0.39318117,0.031239448,0.04548942,0.46528003
Rab37,0.1980298,0.04476081,0.0,0.30746466,0.0,0.31683177,0.4756536,0.0,0.32326442,0.08604176,0.023015121,0.09145805
Llgl2,0.28844473,0.022375925,0.117900796,0.21420105,0.015862364,0.087164015,0.17392734,0.0066665243,0.08688795,0.03599319,0.09844141,0.10996604
Rnf157,0.000816902,0.0,0.12830794,0.49006793,0.91050524,0.004128703,0.0,0.0,0.0,0.0,0.15898259,0.024585897
Ubald2,0.01779903,0.03191054,0.11230392,0.43819147,0.5784241,0.06442914,0.15779059,0.113443725,0.0,0.24981102,0.7149826,0.040893115
